,Survived,Pclass,Sex,Age,Fare,Cabin
77,0,2,0,1,1,1
78,1,1,0,0,1,1
79,1,2,1,1,1,1
80,0,2,0,1,1,1
81,1,2,0,1,1,1
82,1,2,1,1,1,1
83,0,0,0,1,1,1
84,1,1,1,1,1,1
85,1,2,1,1,1,1
86,0,2,0,1,1,1
87,0,2,0,1,1,1
88,1,0,1,1,0,1
89,0,2,0,1,1,1
90,0,2,0,1,1,1
91,0,2,0,1,1,1
92,0,0,0,1,2,1
93,0,2,0,1,1,1
94,0,2,0,2,1,1
95,0,2,0,1,1,1
96,0,0,0,2,1,1
97,1,0,0,1,2,1
98,1,1,1,1,1,1
99,0,1,0,1,1,1
100,0,2,1,1,1,1
101,0,2,0,1,1,1
102,0,0,0,1,2,1
103,0,2,0,1,1,1
104,0,2,0,1,1,1
105,0,2,0,1,1,1
106,1,2,1,1,1,1
107,1,2,0,1,1,1
108,0,2,0,1,1,1
109,1,2,1,1,1,1
110,0,0,0,1,2,1
111,0,2,1,0,1,1
112,0,2,0,1,1,1
113,0,2,1,1,1,1
114,0,2,1,1,1,1
115,0,2,0,1,1,1
116,0,2,0,2,1,1
117,0,1,0,1,1,1
118,0,0,0,1,0,1
119,0,2,1,0,1,1
120,0,1,0,1,2,1
121,0,2,0,1,1,1
122,0,1,0,1,1,1
123,1,1,1,1,1,1
124,0,0,0,1,2,1
125,1,2,0,0,1,1
126,0,2,0,1,1,1
127,1,2,0,1,1,1
128,1,2,1,0,1,1
129,0,2,0,1,1,1
130,0,2,0,1,1,1
131,0,2,0,1,1,1
132,0,2,1,1,1,1
133,1,1,1,1,1,1
134,0,1,0,1,1,1
135,0,1,0,1,1,1
136,1,0,1,1,1,1
137,0,0,0,1,2,1
138,0,2,0,1,1,1
139,0,0,0,1,2,1
140,0,2,1,1,1,1
141,1,2,1,1,1,1
142,1,2,1,1,1,1
143,0,2,0,1,1,1
144,0,1,0,1,1,1
145,0,1,0,1,1,1
146,1,2,0,1,1,1
147,0,2,1,0,1,1
148,0,1,0,1,1,1
149,0,1,0,1,1,1
150,0,1,0,1,1,1
151,1,0,1,1,2,1
152,0,2,0,2,1,1
153,0,2,0,1,1,1
154,0,2,0,1,1,1
155,0,0,0,1,2,1
156,1,2,1,1,1,1
157,0,2,0,1,1,1
158,0,2,0,1,1,1
159,0,2,0,0,2,1
160,0,2,0,1,1,1
161,1,1,1,1,1,1
162,0,2,0,1,1,1
163,0,2,0,1,1,1
164,0,2,0,0,1,1
165,1,2,0,0,1,1
166,1,0,1,1,2,1
167,0,2,1,1,1,1
168,0,0,0,1,1,1
169,0,2,0,1,2,1
170,0,0,0,2,1,1
171,0,2,0,0,1,1
172,1,2,1,0,1,1
173,0,2,0,1,1,1
174,0,0,0,2,1,1
175,0,2,0,1,1,1
176,0,2,0,0,1,1
177,0,0,1,1,1,1
178,0,1,0,1,1,1
179,0,2,0,1,1,1
180,0,2,1,0,2,1
181,0,1,0,1,1,1
182,0,2,0,0,1,1
183,1,1,0,0,1,1
184,1,2,1,0,1,1
185,0,0,0,1,2,1
186,1,2,1,1,1,1
187,1,0,0,1,1,1
188,0,2,0,1,1,1
189,0,2,0,1,1,1
190,1,1,1,1,1,1
191,0,1,0,1,1,1
192,1,2,1,1,1,1
193,1,1,0,0,1,1
194,1,0,1,1,1,1
195,1,0,1,2,2,1
196,0,2,0,1,1,1
197,0,2,0,1,1,1
198,1,2,1,1,1,1
199,0,1,1,1,1,1
200,0,2,0,1,1,1
201,0,2,0,1,2,1
202,0,2,0,1,1,1
203,0,2,0,1,1,1
204,1,2,0,1,1,1
205,0,2,1,0,1,1
206,0,2,0,1,1,1
207,1,2,0,1,1,1
208,1,2,1,1,1,1
209,1,0,0,1,1,1
210,0,2,0,1,1,1
211,1,1,1,1,1,1
212,0,2,0,1,1,1
213,0,1,0,1,1,1
214,0,2,0,1,1,1
215,1,0,1,1,2,1
216,1,2,1,1,1,1
217,0,1,0,1,1,1
218,1,0,1,1,2,1
219,0,1,0,1,1,1
220,1,2,0,1,1,1
221,0,1,0,1,1,1
222,0,2,0,1,1,1
223,0,2,0,1,1,1
224,1,0,0,1,2,1
225,0,2,0,1,1,1
226,1,1,0,1,1,1
227,0,2,0,1,1,1
228,0,1,0,1,1,1
229,0,2,1,0,1,1
230,1,0,1,1,2,1
231,0,2,0,1,1,1
232,0,1,0,2,1,1
233,1,2,1,0,1,1
234,0,1,0,1,1,1
235,0,2,1,1,1,1
236,0,1,0,1,1,1
237,1,1,1,0,1,1
238,0,1,0,1,1,1
239,0,1,0,1,1,1
240,0,2,1,1,1,1
241,1,2,1,1,1,1
242,0,1,0,1,1,1
243,0,2,0,1,1,1
244,0,2,0,1,1,1
245,0,0,0,1,2,1
246,0,2,1,1,1,1
247,1,1,1,1,1,1
248,1,0,0,1,2,1
249,0,1,0,1,1,1
250,0,2,0,1,1,1
251,0,2,1,1,1,1
252,0,0,0,2,1,1
253,0,2,0,1,1,1
254,0,2,1,1,1,1
255,1,2,1,1,1,1
256,1,0,1,1,2,1
257,1,0,1,1,2,1
258,1,0,1,1,0,1
259,1,1,1,1,1,1
260,0,2,0,1,1,1
261,1,2,0,0,1,1
262,0,0,0,1,2,1
263,0,0,0,1,1,1
264,0,2,1,1,1,1
265,0,1,0,1,1,1
266,0,2,0,1,1,1
267,1,2,0,1,1,1
268,1,0,1,2,2,1
269,1,0,1,1,2,1
270,0,0,0,1,1,1
271,1,2,0,1,1,1
272,1,1,1,1,1,1
273,0,0,0,1,1,1
274,1,2,1,1,1,1
275,1,0,1,2,2,1
276,0,2,1,1,1,1
277,0,1,0,1,1,1
278,0,2,0,0,1,1
279,1,2,1,1,1,1
280,0,2,0,2,1,1
281,0,2,0,1,1,1
282,0,2,0,1,1,1
283,1,2,0,1,1,1
284,0,0,0,1,1,1
285,0,2,0,1,1,1
286,1,2,0,1,1,1
287,0,2,0,1,1,1
288,1,1,0,1,1,1
289,1,2,1,1,1,1
290,1,0,1,1,2,1
291,1,0,1,1,2,1
292,0,1,0,1,1,1
293,0,2,1,1,1,1
294,0,2,0,1,1,1
295,0,0,0,1,1,1
296,0,2,0,1,1,1
297,0,0,1,0,2,1
298,1,0,0,1,1,1
299,1,0,1,1,0,1
300,1,2,1,1,1,1
301,1,2,0,1,1,1
302,0,2,0,1,1,1
303,1,1,1,1,1,1
304,0,2,0,1,1,1
305,1,0,0,0,2,1
306,1,0,1,1,2,1
307,1,0,1,1,2,1
308,0,1,0,1,1,1
309,1,0,1,1,2,1
310,1,0,1,1,2,1
311,1,0,1,1,0,1
312,0,1,1,1,1,1
313,0,2,0,1,1,1
314,0,1,0,1,1,1
315,1,2,1,1,1,1
316,1,1,1,1,1,1
317,0,1,0,1,1,1
318,1,0,1,1,2,1
319,1,0,1,1,2,1
320,0,2,0,1,1,1
321,0,2,0,1,1,1
322,1,1,1,1,1,1
323,1,1,1,1,1,1
324,0,2,0,1,2,1
325,1,0,1,1,2,1
326,0,2,0,2,1,1
327,1,1,1,1,1,1
328,1,2,1,1,1,1
329,1,0,1,1,2,1
330,1,2,1,1,1,1
331,0,0,0,1,1,1
332,0,0,0,1,2,1
333,0,2,0,1,1,1
334,1,0,1,1,2,1
335,0,2,0,1,1,1
336,0,0,0,1,2,1
337,1,0,1,1,2,1
338,1,2,0,1,1,1
339,0,0,0,1,1,1
340,1,1,0,0,1,1
341,1,0,1,1,0,1
342,0,1,0,1,1,1
343,0,1,0,1,1,1
344,0,1,0,1,1,1
345,1,1,1,1,1,1
346,1,1,1,1,1,1
347,1,2,1,1,1,1
348,1,2,0,0,1,1
349,0,2,0,1,1,1
350,0,2,0,1,1,1
351,0,0,0,1,1,1
352,0,2,0,1,1,1
353,0,2,0,1,1,1
354,0,2,0,1,1,1
355,0,2,0,1,1,1
356,1,0,1,1,2,1
357,0,1,1,1,1,1
358,1,2,1,1,1,1
359,1,2,1,1,1,1
360,0,2,0,1,1,1
361,0,1,0,1,1,1
362,0,2,1,1,1,1
363,0,2,0,1,1,1
364,0,2,0,1,1,1
365,0,2,0,1,1,1
366,1,0,1,2,2,1
367,1,2,1,1,1,1
368,1,2,1,1,1,1
369,1,0,1,1,2,1
370,1,0,0,1,2,1
371,0,2,0,1,1,1
372,0,2,0,1,1,1
373,0,0,0,1,2,1
374,0,2,1,0,1,1
375,1,0,1,1,2,1
376,1,2,1,1,1,1
377,0,0,0,1,0,1
378,0,2,0,1,1,1
379,0,2,0,1,1,1
380,1,0,1,1,0,1
381,1,2,1,0,1,1
382,0,2,0,1,1,1
383,1,0,1,1,2,1
384,0,2,0,1,1,1
385,0,1,0,1,2,1
386,0,2,0,0,1,1
387,1,1,1,1,1,1
388,0,2,0,1,1,1
389,1,1,1,1,1,1
390,1,0,0,1,2,1
391,1,2,0,1,1,1
392,0,2,0,1,1,1
393,1,0,1,1,2,1
394,1,2,1,1,1,1
395,0,2,0,1,1,1
396,0,2,1,1,1,1
397,0,1,0,1,1,1
398,0,1,0,1,1,1
399,1,1,1,1,1,1
400,1,2,0,1,1,1
401,0,2,0,1,1,1
402,0,2,1,1,1,1
403,0,2,0,1,1,1
404,0,2,1,1,1,1
405,0,1,0,1,1,1
406,0,2,0,1,1,1
407,1,1,0,0,1,1
408,0,2,0,1,1,1
409,0,2,1,0,1,1
410,0,2,0,1,1,1
411,0,2,0,1,1,1
412,1,0,1,1,2,1
413,0,1,0,1,1,1
414,1,2,0,1,1,1
415,0,2,1,1,1,1
416,1,1,1,1,1,1
417,1,1,1,1,1,1
418,0,1,0,1,1,1
419,0,2,1,0,1,1
420,0,2,0,1,1,1
421,0,2,0,1,1,1
422,0,2,0,1,1,1
423,0,2,1,1,1,1
424,0,2,0,1,1,1
425,0,2,0,1,1,1
426,1,1,1,1,1,1
427,1,1,1,1,1,1
428,0,2,0,1,1,1
429,1,2,0,1,1,1
430,1,0,0,1,1,1
431,1,2,1,1,1,1
432,1,1,1,1,1,1
433,0,2,0,1,1,1
434,0,0,0,1,2,1
435,1,0,1,0,2,1
436,0,2,1,1,1,1
437,1,1,1,1,1,1
438,0,0,0,2,0,1
439,0,1,0,1,1,1
440,1,1,1,1,1,1
441,0,2,0,1,1,1
442,0,2,0,1,1,1
443,1,1,1,1,1,1
444,1,2,0,1,1,1
445,1,0,0,0,2,1
446,1,1,1,0,1,1
447,1,0,0,1,1,1
448,1,2,1,0,1,1
449,1,0,0,1,1,1
450,0,1,0,1,1,1
451,0,2,0,1,1,1
452,0,0,0,1,1,1
453,1,0,0,1,2,1
454,0,2,0,1,1,1
455,1,2,0,1,1,1
456,0,0,0,2,1,1
457,1,0,1,1,2,1
458,1,1,1,1,1,1
459,0,2,0,1,1,1
460,1,0,0,1,1,1
461,0,2,0,1,1,1
462,0,0,0,1,1,1
463,0,1,0,1,1,1
464,0,2,0,1,1,1
465,0,2,0,1,1,1
466,0,1,0,1,1,1
467,0,0,0,2,1,1
468,0,2,0,1,1,1
469,1,2,1,0,1,1
470,0,2,0,1,1,1
471,0,2,0,1,1,1
472,1,1,1,1,1,1
473,1,1,1,1,1,1
474,0,2,1,1,1,1
475,0,0,0,1,2,1
476,0,1,0,1,1,1
477,0,2,0,1,1,1
478,0,2,0,1,1,1
479,1,2,1,0,1,1
480,0,2,0,0,1,1
481,0,1,0,1,1,1
482,0,2,0,1,1,1
483,1,2,1,2,1,1
484,1,0,0,1,2,1
485,0,2,1,0,1,1
486,1,0,1,1,2,1
487,0,0,0,2,1,1
488,0,2,0,1,1,1
489,1,2,0,0,1,1
490,0,2,0,1,1,1
491,0,2,0,1,1,1
492,0,0,0,2,1,1
493,0,0,0,2,2,1
494,0,2,0,1,1,1
495,0,2,0,1,1,1
496,1,0,1,1,2,1
497,0,2,0,1,1,1
498,0,0,1,1,2,1
499,0,2,0,1,1,1
500,0,2,0,1,1,1
501,0,2,1,1,1,1
502,0,2,1,1,1,1
503,0,2,1,1,1,1
504,1,0,1,1,2,1
505,0,0,0,1,2,1
506,1,1,1,1,1,1
507,1,0,0,1,1,1
508,0,2,0,1,1,1
509,1,2,0,1,2,1
510,1,2,0,1,1,1
511,0,2,0,1,1,1
512,1,0,0,1,1,1
513,1,0,1,1,2,1
514,0,2,0,1,1,1
515,0,0,0,1,1,1
516,1,1,1,1,1,1
517,0,2,0,1,1,1
518,1,1,1,1,1,1
519,0,2,0,1,1,1
520,1,0,1,1,2,1
521,0,2,0,1,1,1
522,0,2,0,1,1,1
523,1,0,1,1,2,1
524,0,2,0,1,1,1
525,0,2,0,1,1,1
526,1,1,1,1,1,1
527,0,0,0,1,0,1
528,0,2,0,1,1,1
529,0,1,0,1,1,1
530,1,1,1,0,1,1
531,0,2,0,1,1,1
532,0,2,0,1,1,1
533,1,2,1,1,1,1
534,0,2,1,1,1,1
535,1,1,1,0,1,1
536,0,0,0,1,1,1
537,1,0,1,1,2,1
538,0,2,0,1,1,1
539,1,0,1,1,2,1
540,1,0,1,1,2,1
541,0,2,1,0,1,1
542,0,2,1,0,1,1
543,1,1,0,1,1,1
544,0,0,0,1,2,1
545,0,0,0,2,1,1
546,1,1,1,1,1,1
547,1,1,0,1,1,1
548,0,2,0,1,1,1
549,1,1,0,0,1,1
550,1,0,0,1,2,1
551,0,1,0,1,1,1
552,0,2,0,1,1,1
553,1,2,0,1,1,1
554,1,2,1,1,1,1
555,0,0,0,2,1,1
556,1,0,1,1,1,1
557,0,0,0,1,0,1
558,1,0,1,1,2,1
559,1,2,1,1,1,1
560,0,2,0,1,1,1
561,0,2,0,1,1,1
562,0,1,0,1,1,1
563,0,2,0,1,1,1
564,0,2,1,1,1,1
565,0,2,0,1,1,1
566,0,2,0,1,1,1
567,0,2,1,1,1,1
568,0,2,0,1,1,1
569,1,2,0,1,1,1
570,1,1,0,2,1,1
571,1,0,1,1,2,1
572,1,0,0,1,1,1
573,1,2,1,1,1,1
574,0,2,0,1,1,1
575,0,2,0,1,1,1
576,1,1,1,1,1,1
577,1,0,1,1,2,1
578,0,2,1,1,1,1
579,1,2,0,1,1,1
580,1,1,1,1,1,1
581,1,0,1,1,2,1
582,0,1,0,1,1,1
583,0,0,0,1,1,1
584,0,2,0,1,1,1
585,1,0,1,1,2,1
586,0,1,0,1,1,1
587,1,0,0,2,2,1
588,0,2,0,1,1,1
589,0,2,0,1,1,1
590,0,2,0,1,1,1
591,1,0,1,1,2,1
592,0,2,0,1,1,1
593,0,2,1,0,1,1
594,0,1,0,1,1,1
595,0,2,0,1,1,1
596,1,1,1,1,1,1
597,0,2,0,1,1,1
598,0,2,0,1,1,1
599,1,0,0,1,2,1
600,1,1,1,1,1,1
601,0,2,0,1,1,1
602,0,0,0,1,1,1
603,0,2,0,1,1,1
604,1,0,0,1,1,1
605,0,2,0,1,1,1
606,0,2,0,1,1,1
607,1,0,0,1,1,1
608,1,1,1,1,1,1
609,1,0,1,1,2,1
610,0,2,1,1,1,1
611,0,2,0,1,1,1
612,1,2,1,1,1,1
613,0,2,0,1,1,1
614,0,2,0,1,1,1
615,1,1,1,1,2,1
616,0,2,0,1,1,1
617,0,2,1,1,1,1
618,1,1,1,0,1,1
619,0,1,0,1,1,1
620,0,2,0,1,1,1
621,1,0,0,1,2,1
622,1,2,0,1,1,1
623,0,2,0,1,1,1
624,0,2,0,1,1,1
625,0,0,0,2,1,1
626,0,1,0,2,1,1
627,1,0,1,1,2,1
628,0,2,0,1,1,1
629,0,2,0,1,1,1
630,1,0,0,2,1,1
631,0,2,0,1,1,1
632,1,0,0,1,1,1
633,0,0,0,1,1,1
634,0,2,1,0,1,1
635,1,1,1,1,1,1
636,0,2,0,1,1,1
637,0,1,0,1,1,1
638,0,2,1,1,1,1
639,0,2,0,1,1,1
640,0,2,0,1,1,1
641,1,0,1,1,2,1
642,0,2,1,0,1,1
643,1,2,0,1,2,1
644,1,2,1,0,1,1
645,1,0,0,1,2,1
646,0,2,0,1,1,1
647,1,0,0,2,1,1
648,0,2,0,1,1,1
649,1,2,1,1,1,1
650,0,2,0,1,1,1
651,1,1,1,1,1,1
652,0,2,0,1,1,1
653,1,2,1,1,1,1
654,0,2,1,1,1,1
655,0,1,0,1,2,1
656,0,2,0,1,1,1
657,0,2,1,1,1,1
658,0,1,0,1,1,1
659,0,0,0,2,2,1
660,1,0,0,1,2,1
661,0,2,0,1,1,1
662,0,0,0,1,1,1
663,0,2,0,1,1,1
664,1,2,0,1,1,1
665,0,1,0,1,2,1
666,0,1,0,1,1,1
667,0,2,0,1,1,1
668,0,2,0,1,1,1
669,1,0,1,1,2,1
670,1,1,1,1,1,1
671,0,0,0,1,2,1
672,0,1,0,2,1,1
673,1,1,0,1,1,1
674,0,1,0,1,1,1
675,0,2,0,1,1,1
676,0,2,0,1,1,1
677,1,2,1,1,1,1
678,0,2,1,1,1,1
679,1,0,0,1,0,1
680,0,2,1,1,1,1
681,1,0,0,1,2,1
682,0,2,0,1,1,1
683,0,2,0,0,1,1
684,0,1,0,2,1,1
685,0,1,0,1,1,1
686,0,2,0,0,1,1
687,0,2,0,1,1,1
688,0,2,0,1,1,1
689,1,0,1,1,0,1
690,1,0,0,1,2,1
691,1,2,1,0,1,1
692,1,2,0,1,2,1
693,0,2,0,1,1,1
694,0,0,0,2,1,1
695,0,1,0,1,1,1
696,0,2,0,1,1,1
697,1,2,1,1,1,1
698,0,0,0,1,2,1
699,0,2,0,1,1,1
700,1,0,1,1,0,1
701,1,0,0,1,1,1
702,0,2,1,1,1,1
703,0,2,0,1,1,1
704,0,2,0,1,1,1
705,0,1,0,1,1,1
706,1,1,1,1,1,1
707,1,0,0,1,1,1
708,1,0,1,1,2,1
709,1,2,0,0,1,1
710,1,0,1,1,2,1
711,0,0,0,1,1,1
712,1,0,0,1,2,1
713,0,2,0,1,1,1
714,0,1,0,1,1,1
715,0,2,0,1,1,1
716,1,0,1,1,0,1
717,1,1,1,1,1,1
718,0,2,0,1,1,1
719,0,2,0,1,1,1
720,1,1,1,0,1,1
721,0,2,0,1,1,1
722,0,1,0,1,1,1
723,0,1,0,1,1,1
724,1,0,0,1,2,1
725,0,2,0,1,1,1
726,1,1,1,1,1,1
727,1,2,1,1,1,1
728,0,1,0,1,1,1
729,0,2,1,1,1,1
730,1,0,1,1,0,1
731,0,2,0,0,1,1
732,0,1,0,1,1,1
733,0,1,0,1,1,1
734,0,1,0,1,1,1
735,0,2,0,1,1,1
736,0,2,1,1,1,1
737,1,0,0,1,0,1
738,0,2,0,1,1,1
739,0,2,0,1,1,1
740,1,0,0,1,1,1
741,0,0,0,1,2,1
742,1,0,1,1,0,1
743,0,2,0,1,1,1
744,1,2,0,1,1,1
745,0,0,0,2,2,1
746,0,2,0,1,1,1
747,1,1,1,1,1,1
748,0,0,0,1,2,1
749,0,2,0,1,1,1
750,1,1,1,0,1,1
751,1,2,0,0,1,1
752,0,2,0,1,1,1
753,0,2,0,1,1,1
754,1,1,1,1,2,1
755,1,1,0,0,1,1
756,0,2,0,1,1,1
757,0,1,0,1,1,1
758,0,2,0,1,1,1
759,1,0,1,1,2,1
760,0,2,0,1,1,1
761,0,2,0,1,1,1
762,1,2,0,1,1,1
763,1,0,1,1,2,1
764,0,2,0,1,1,1
765,1,0,1,1,2,1
766,0,2,1,1,1,1
767,0,2,0,1,1,1
768,0,2,0,1,1,1
769,0,2,0,1,1,1
770,0,2,0,1,1,1
771,0,1,1,2,1,1
772,0,2,0,1,1,1
773,1,1,1,1,1,1
774,0,2,0,1,1,1
775,0,2,0,1,1,1
776,1,2,1,0,1,1
777,0,2,0,1,1,1
778,1,0,1,1,0,1
779,1,2,1,0,1,1
780,1,0,1,1,2,1
781,0,0,0,1,1,1
782,0,2,0,1,1,1
783,0,2,0,1,1,1
784,0,2,0,1,1,1
785,1,2,1,1,1,1
786,0,2,0,0,1,1
787,1,2,0,0,1,1
788,0,0,0,1,2,1
789,0,2,0,1,1,1
790,0,1,0,1,1,1
791,0,2,1,0,2,1
792,0,0,0,1,1,1
793,0,2,0,1,1,1
794,0,1,0,1,1,1
795,1,0,1,1,1,1
796,1,2,1,1,1,1
797,0,2,0,1,1,1
798,0,2,1,1,1,1
799,0,1,0,1,1,1
800,1,1,1,1,1,1
801,1,0,0,0,2,1
802,1,2,0,0,1,1
803,1,2,0,1,1,1
804,0,2,0,1,1,1
805,0,0,0,1,1,1
806,0,2,1,1,1,1
807,0,1,0,1,1,1
808,1,0,1,1,2,1
809,0,2,0,1,1,1
810,0,2,0,1,1,1
811,0,1,0,1,1,1
812,0,2,1,0,1,1
813,0,2,0,1,1,1
814,0,0,0,1,1,1
815,0,2,1,1,1,1
816,0,1,0,1,1,1
817,0,2,0,1,1,1
818,0,2,0,0,1,1
819,1,0,1,1,2,1
820,1,2,0,1,1,1
821,0,0,0,1,1,1
822,1,2,1,1,1,1
823,0,2,0,0,1,1
824,0,2,0,1,1,1
825,0,2,0,1,2,1
826,1,1,0,0,1,1
827,1,2,0,1,1,1
828,1,0,1,2,2,1
829,1,2,1,1,1,1
830,1,1,0,0,1,1
831,0,2,0,1,1,1
832,0,2,0,1,1,1
833,0,2,0,1,1,1
834,1,0,1,1,2,1
835,0,2,0,1,1,1
836,0,2,0,1,1,1
837,1,2,0,1,2,1
838,1,0,0,1,1,1
839,0,2,0,1,1,1
840,0,1,0,1,1,1
841,1,0,1,1,1,1
842,0,2,0,1,1,1
843,0,2,0,1,1,1
844,0,2,0,1,1,1
845,0,2,0,1,2,1
846,0,2,0,1,1,1
847,0,1,0,1,1,1
848,1,0,1,1,2,1
849,0,2,0,0,1,1
850,0,2,0,2,1,1
851,0,2,1,0,1,1
852,1,0,1,1,1,1
853,0,1,1,1,1,1
854,1,2,1,1,1,1
855,1,0,1,1,2,1
856,1,0,0,1,1,1
857,1,2,1,1,1,1
858,0,2,0,1,1,1
859,0,2,0,1,1,1
860,0,1,0,1,1,1
861,1,0,1,1,1,1
862,0,2,1,0,2,1
863,0,1,0,1,1,1
864,1,1,1,1,1,1
865,1,1,1,1,1,1
866,0,0,0,1,2,1
867,0,2,0,1,1,1
868,1,2,0,0,1,1
869,0,2,0,1,1,1
870,1,0,1,1,2,1
871,0,0,0,1,1,1
872,0,2,0,1,1,1
873,1,1,1,1,1,1
874,1,2,1,1,1,1
875,0,2,0,1,1,1
876,0,2,0,1,1,1
877,0,2,0,1,1,1
878,1,0,1,2,2,1
879,1,1,1,1,1,1
880,0,2,0,1,1,1
881,0,2,1,1,1,1
882,0,1,0,1,1,1
883,0,2,0,1,1,1
884,0,2,1,1,1,1
885,0,1,0,1,1,1
886,1,0,1,1,1,1
887,0,2,1,0,1,1
888,1,0,0,1,1,1
889,0,2,0,1,1,1
890,0,2,0,1,1,1
891,1,2,1,1,1,1
892,0,1,0,2,1,1
893,0,2,0,1,1,1
894,1,2,1,1,1,1
895,0,2,0,0,1,1
896,1,2,1,1,1,1
897,0,1,0,1,1,1
898,1,2,1,1,1,1
899,0,2,0,1,1,1
900,0,2,0,1,1,1
901,0,0,0,1,1,1
902,1,0,1,1,2,1
903,0,1,0,2,1,1
904,1,0,1,1,2,1
905,1,1,1,1,1,1
906,0,1,0,1,1,1
907,0,2,0,1,1,1
908,1,2,1,1,1,1
909,1,2,1,1,1,1
910,0,0,0,2,2,1
911,0,2,0,0,1,1
912,1,0,1,1,1,1
913,0,0,0,1,2,1
914,1,0,1,1,0,1
915,0,2,0,1,1,1
916,1,0,1,1,2,1
917,0,2,0,1,1,1
918,0,0,0,1,1,1
919,0,2,0,1,1,1
920,0,1,0,1,1,1
921,0,1,0,1,1,1
922,1,2,1,1,1,1
923,1,2,1,1,1,1
924,0,0,0,1,2,1
925,0,2,0,1,1,1
926,1,2,1,1,1,1
927,1,2,1,1,1,1
928,0,2,0,1,1,1
929,0,2,0,1,2,1
930,0,2,0,1,1,1
931,0,0,0,1,1,1
932,0,2,0,1,1,1
933,1,1,1,1,1,1
934,1,0,1,1,2,1
935,0,2,0,1,1,1
936,0,0,0,1,1,1
937,0,2,0,1,1,1
938,1,0,1,2,2,1
939,1,2,1,1,1,1
940,0,0,0,1,2,1
941,0,1,0,1,1,1
942,1,1,1,1,1,1
943,1,0,1,1,0,1
944,0,1,0,1,1,1
945,0,2,0,0,1,1
946,0,2,0,1,1,1
947,0,2,0,1,1,1
948,0,2,0,1,1,1
949,1,0,1,1,0,1
950,0,2,0,1,1,1
951,0,1,0,1,1,1
952,0,2,0,1,1,1
953,1,2,1,1,1,1
954,0,0,0,0,0,1
955,1,1,1,1,1,1
956,1,2,1,1,1,1
957,0,0,0,1,1,1
958,0,0,0,1,1,1
959,1,0,1,2,0,1
960,1,2,1,1,1,1
961,0,2,0,1,1,1
962,1,2,1,1,1,1
963,0,0,0,1,1,1
964,1,0,1,1,0,1
965,0,0,0,1,0,1
966,0,2,0,1,1,1
967,1,0,1,2,1,1
968,0,1,0,1,1,1
969,1,2,1,1,1,1
970,0,2,0,0,1,1
971,0,0,0,2,0,1
972,0,0,0,1,1,1
973,0,2,0,1,1,1
974,0,1,0,1,1,1
975,0,2,0,1,1,1
976,1,2,1,1,1,1
977,1,2,1,1,1,1
978,0,1,0,0,1,1
979,1,2,1,1,1,1
980,0,2,0,1,1,1
981,1,0,1,1,2,1
982,0,2,0,1,1,1
983,0,0,0,1,1,1
984,0,2,0,1,1,1
985,1,0,1,2,2,1
986,0,2,0,1,1,1
987,1,2,1,1,1,1
988,0,2,0,1,1,1
989,1,0,1,1,2,1
990,0,1,0,1,1,1
991,0,2,0,1,1,1
992,0,2,0,1,1,1
993,1,2,1,1,1,1
994,0,2,0,1,1,1
995,0,2,0,1,1,1
