,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
692,0,2,0,1.0,0,0,2
693,0,2,0,1.0,0,0,2
694,0,2,0,1.0,0,0,0
695,0,1,0,1.0,0,1,2
696,1,0,1,,1,0,0
697,0,2,0,0.0,4,2,2
698,0,2,0,2.0,0,0,2
699,0,2,1,0.0,1,1,0
700,1,0,1,1.0,0,1,2
701,0,1,1,1.0,1,0,2
702,1,2,1,1.0,0,1,2
703,1,0,1,1.0,1,1,2
704,1,0,0,1.0,0,0,2
705,1,2,1,1.0,0,3,0
706,0,2,0,1.0,2,0,2
707,0,1,0,1.0,1,0,2
708,1,0,1,1.0,0,0,2
709,0,1,0,1.0,0,0,2
710,1,1,1,1.0,0,0,2
711,1,1,1,1.0,1,0,0
712,0,0,0,1.0,0,0,2
713,1,2,0,0.0,1,1,2
714,0,2,0,1.0,0,0,2
715,1,0,1,1.0,1,1,2
716,0,0,0,1.0,0,0,2
717,0,2,0,1.0,0,0,2
718,1,1,1,1.0,1,0,0
719,1,2,1,1.0,0,0,0
720,0,2,0,1.0,0,0,2
721,0,2,0,1.0,0,0,2
722,1,0,1,2.0,0,1,0
723,1,1,1,1.0,0,1,2
724,0,2,0,1.0,0,0,2
725,0,2,1,1.0,0,0,2
726,0,1,0,1.0,0,0,2
727,0,2,0,1.0,0,0,2
728,0,2,1,1.0,0,5,1
729,0,1,0,1.0,0,0,2
730,1,0,1,1.0,0,0,2
731,1,0,0,1.0,0,0,0
732,0,2,0,1.0,0,0,1
